topic,severity,ideology,text,target_tag
Religion (Muslim / Jewish),incitement,progressive,Religious organisations that lobby against LGBT rights and reproductive freedom should be dissolved by force if every legal avenue has been exhausted.,religious_conservative
Religion (Muslim / Jewish),incitement,progressive,Communities should physically prevent religious groups from organising in public spaces until they formally renounce all discriminatory doctrines.,religious_conservative
Religion (Muslim / Jewish),incitement,progressive,Militant direct action against institutions spreading religious hatred against queer people and women is not only justified — it is morally required.,religious_conservative
Immigration / migrants,opinion,conservative,European immigration policy is completely out of control and politicians who refuse to act are betraying every single person who voted for them.,immigrant
Immigration / migrants,opinion,conservative,We have every right to know who enters our country. Open borders are not compassion — they are chaos dressed up as progressive virtue.,immigrant
Immigration / migrants,opinion,conservative,Our welfare state was built by and for European citizens — not the entire developing world. Putting our own people first is not racist. It is common sense.,immigrant
Immigration / migrants,opinion,progressive,Europe's border policies are killing thousands in the Mediterranean every year and we simply accept it. That blood is on all of our hands.,nativist
Immigration / migrants,opinion,progressive,People who campaign against migration are protecting their inherited privilege at the direct cost of other human beings' lives. Own what you are doing.,nativist
Immigration / migrants,opinion,progressive,Complaining about migrants taking jobs is just racism wearing a thin economic mask. Stop pretending it is anything more principled than that.,nativist
Immigration / migrants,dehumanising,conservative,These are not refugees — they are economic parasites who come to exploit our welfare system and then demand rights they have never earned.,immigrant
Immigration / migrants,dehumanising,conservative,They come from countries that have contributed nothing to the world and bring nothing of value here. A permanent drain on European taxpayers.,immigrant
Immigration / migrants,dehumanising,conservative,Migrants are ruining our communities — crime rises safety collapses and our culture gets erased. They are a poison spreading through European society.,immigrant
Immigration / migrants,dehumanising,progressive,Anti-immigration activists are moral scum. They would rather watch children drown in the Mediterranean than risk any reduction in their own comfortable privilege.,nativist
Immigration / migrants,dehumanising,progressive,Border nationalists are the most contemptible people in Europe: spiritually hollow racists cosplaying as patriots defending something precious.,nativist
Immigration / migrants,dehumanising,progressive,Anyone who votes for anti-immigration parties is personally complicit in every death at Europe's borders. That is morally subhuman indifference to human life.,nativist
Immigration / migrants,incitement,conservative,Local citizens need to start physically blocking migrant reception centres from opening in their towns. Waiting for politicians to act is completely pointless.,immigrant
Immigration / migrants,incitement,conservative,Migrants who arrive illegally should be forcibly removed within 48 hours. Citizens should assist border authorities by whatever means available.,immigrant
Immigration / migrants,incitement,conservative,Protecting European communities from this invasion may require force. Every real European understands what must be done and has a duty to do it.,immigrant
Immigration / migrants,incitement,progressive,Anti-immigration demonstrations should be physically broken up before their poisonous hatred can spread any further through our communities.,nativist
Immigration / migrants,incitement,progressive,Nationalist organisations campaigning to close European borders should be forcibly dismantled and their leaders driven permanently out of public life.,nativist
Immigration / migrants,incitement,progressive,Anyone who actively organises against the rights of migrants deserves to face direct physical consequences for what they are choosing to do.,nativist
Gender issues (misogyny),opinion,conservative,Feminist ideology has completely distorted our understanding of gender and is actively harming men boys and the stability of the family unit.,feminist_woman
Gender issues (misogyny),opinion,conservative,Men are being systematically discriminated against in family courts universities and workplaces and no one is permitted to say so publicly.,feminist_woman
Gender issues (misogyny),opinion,conservative,Gender equality has gone far beyond fairness. Policies designed to actively disadvantage men in order to benefit women are not equality — they are revenge.,feminist_woman
Gender issues (misogyny),opinion,progressive,Men have dominated every single institution for centuries and still have the audacity to position themselves as the ones being oppressed. Staggering.,traditional_man
Gender issues (misogyny),opinion,progressive,Male fragility is one of the most dangerous forces in European society. Men cannot tolerate the mildest honest challenge to their centuries of unearned privilege.,traditional_man
Gender issues (misogyny),opinion,progressive,Masculinity as a cultural construct is irredeemably toxic. Almost every destructive social pattern in our history traces directly back to male domination.,traditional_man
Gender issues (misogyny),dehumanising,conservative,Women are fundamentally unfit for political leadership. They are governed by emotion over reason and every country they lead demonstrates exactly that.,feminist_woman
Gender issues (misogyny),dehumanising,conservative,Feminists are bitter damaged women who despise men because they cannot attract them. They are a cancer growing at the heart of our society.,feminist_woman
Gender issues (misogyny),dehumanising,conservative,Women who reject motherhood and family life to pursue activism are failures as women and as human beings. They damage every community they enter.,feminist_woman
Gender issues (misogyny),dehumanising,progressive,Men are fundamentally incapable of genuine empathy. Centuries of unchallenged power have made them morally defective as a class.,traditional_man
Gender issues (misogyny),dehumanising,progressive,Straight men are the single most destructive force on this planet — responsible for virtually every war exploitation and atrocity in recorded history.,traditional_man
Gender issues (misogyny),dehumanising,progressive,Traditional masculinity is a disease and the men who spread it are a direct threat to the safety and dignity of every woman and child around them.,traditional_man
Gender issues (misogyny),incitement,conservative,Men need to start reclaiming their workplaces families and public spaces from feminist ideology. Enough surrender — it is time to actively fight back.,feminist_woman
Gender issues (misogyny),incitement,conservative,Feminist activists should be removed from every public institution by force if necessary. They have declared an open war on men and boys.,feminist_woman
Gender issues (misogyny),incitement,conservative,Women who push feminist ideology into schools and politics deserve every social consequence that follows. No sympathy should be shown.,feminist_woman
Gender issues (misogyny),incitement,progressive,Sexist men should be publicly named and harassed until they lose their jobs their platform and every shred of social standing they have.,traditional_man
Gender issues (misogyny),incitement,progressive,Men who show up in feminist spaces with misogynist views should be physically confronted and driven out every single time without apology.,traditional_man
Gender issues (misogyny),incitement,progressive,Women and allies have every right to use force to remove men from positions of power they have held illegitimately for far too long.,traditional_man
Sexual orientation / gender identity,opinion,conservative,LGBT ideology is being pushed onto children in schools without parental knowledge or consent and it has to stop immediately.,LGBTQ
Sexual orientation / gender identity,opinion,conservative,Biological sex is a scientific reality that no legislation or social pressure will ever change. This debate must be allowed to happen openly.,LGBTQ
Sexual orientation / gender identity,opinion,conservative,Traditional marriage and natural family structures are the bedrock of European civilisation and deserve full and permanent protection in law.,LGBTQ
Sexual orientation / gender identity,opinion,progressive,People who actively oppose LGBT rights in 2024 are not holding a legitimate political opinion — they are promoting hatred. There is no debate to be had.,anti_LGBTQ
Sexual orientation / gender identity,opinion,progressive,Conservative attitudes toward gender identity cause measurable psychological harm and deaths. Staying neutral when you know this makes you directly complicit.,anti_LGBTQ
Sexual orientation / gender identity,opinion,progressive,If you vote for parties that strip trans people of legal rights you are personally responsible for every trans person those policies push toward suicide.,anti_LGBTQ
Sexual orientation / gender identity,dehumanising,conservative,LGBT people are mentally ill individuals who are actively recruiting children into a lifestyle that leads nowhere but to misery and social isolation.,LGBTQ
Sexual orientation / gender identity,dehumanising,conservative,These people are fundamentally unnatural. Their growing control over media and public education is corrupting the development of our children.,LGBTQ
Sexual orientation / gender identity,dehumanising,conservative,The transgender movement is a mass psychosis being deliberately inflicted on vulnerable young people. These activists are a direct danger to our children.,LGBTQ
Sexual orientation / gender identity,dehumanising,progressive,Anti-LGBT activists are the moral equivalent of Nazi collaborators — pure scum who deserve nothing from this society but its absolute contempt.,anti_LGBTQ
Sexual orientation / gender identity,dehumanising,progressive,People who oppose trans rights are not merely wrong — they are evil dangerous and morally inferior to the rest of humanity in every meaningful sense.,anti_LGBTQ
Sexual orientation / gender identity,dehumanising,progressive,Homophobes and transphobes are a toxic rot inside our communities and should be treated as the dangerous extremists they have always been.,anti_LGBTQ
Sexual orientation / gender identity,incitement,conservative,LGBT activists should be permanently removed from all roles involving children and from any influence whatsoever over public education.,LGBTQ
Sexual orientation / gender identity,incitement,conservative,People should make life openly uncomfortable for anyone promoting LGBT ideology near schools and children until they stop.,LGBTQ
Sexual orientation / gender identity,incitement,conservative,LGBT organisations that deliberately target children should be forcibly shut down by the community if authorities continue to refuse to act.,LGBTQ
Sexual orientation / gender identity,incitement,progressive,Anti-LGBT marches should be physically shut down every single time they try to organise. We did not fight this hard to let fascists march freely.,anti_LGBTQ
Sexual orientation / gender identity,incitement,progressive,Organisations campaigning against LGBT rights should be raided and dismantled by community direct action before another person is lost.,anti_LGBTQ
Sexual orientation / gender identity,incitement,progressive,Violence in direct response to anti-LGBT hatred is not only understandable — it is a morally legitimate act of collective self-defence.,anti_LGBTQ
Nationalism / identity politics,opinion,conservative,National sovereignty is not negotiable. Every European nation has the right and the duty to control its own borders laws and cultural destiny.,globalist
Nationalism / identity politics,opinion,conservative,Our culture our language and our traditions are worth protecting. That is not extremism — it is the most basic form of civilisational self-preservation.,globalist
Nationalism / identity politics,opinion,conservative,The EU has become an unelected bureaucracy actively eroding national democracy. Real patriots across Europe are right to demand their sovereignty back.,globalist
Nationalism / identity politics,opinion,progressive,Nationalism is a collective delusion that has produced nothing throughout history but war poverty and genocide. It is an ideology of pure regression.,nationalist
Nationalism / identity politics,opinion,progressive,Pride in your nation is pride in the accident of your birth. It is the last refuge of people who have nothing real to contribute or to stand for.,nationalist
Nationalism / identity politics,opinion,progressive,National identity is a tool the powerful use to prevent working people from recognising their shared interests across borders. Nothing more.,nationalist
Nationalism / identity politics,dehumanising,conservative,Foreigners who have not genuinely earned their place here are not our equals and do not deserve the same rights as true nationals. Simple as that.,ethnic_minority
Nationalism / identity politics,dehumanising,conservative,People with no real roots in this nation are alien to it at the core. They do not belong here and on some level they know it themselves.,ethnic_minority
Nationalism / identity politics,dehumanising,conservative,Those who are not truly of this nation are a contaminating presence — they dilute and degrade everything that makes our society what it is.,ethnic_minority
Nationalism / identity politics,dehumanising,progressive,Nationalists are the most intellectually stunted people in modern politics — small-minded bigots wrapping their personal failures in a flag.,nationalist
Nationalism / identity politics,dehumanising,progressive,Patriotic movements are a social disease — they infect communities with fear hatred and the primitive delusion that some lives matter more than others.,nationalist
Nationalism / identity politics,dehumanising,progressive,People who cling to national identity are morally primitive — barely a step above tribalism and fundamentally incapable of real human solidarity.,nationalist
Nationalism / identity politics,incitement,conservative,True citizens should take direct physical action against those who openly refuse to respect our national culture and identity. Enough patience.,ethnic_minority
Nationalism / identity politics,incitement,conservative,Foreigners who actively reject integration should be physically removed from our country. The time for polite debate ended a long time ago.,ethnic_minority
Nationalism / identity politics,incitement,conservative,Defending our national identity by force if necessary is not extremism — it is the most basic patriotism. Every real national understands this duty.,ethnic_minority
Nationalism / identity politics,incitement,progressive,Nationalist rallies should be physically broken up every time they organise. Fascism does not get the right to march freely in our public streets.,nationalist
Nationalism / identity politics,incitement,progressive,Communities should use direct force to drive nationalist organisations out of local politics before they can cause any further damage.,nationalist
Nationalism / identity politics,incitement,progressive,Violent resistance against nationalist movements is historically justified and morally necessary to protect every vulnerable community they target.,nationalist
